8,SHANGHAI BOZHONG METAL GROUP CO.LTD.,"Room501, No.518 Xinzhuan Highway, Songjiang District, Shanghai, China",MS. Annie Wang,"Tel:+86-21-5762 9195 
Fax:+86-21-6789 7500 
Web: www.bzstainless.com",Manufacturer and Stockist,,
9,"Tianjin ransheng Steel Sales Co., Ltd","1-1-301-4,shuixiyuan,Zhongbei Town,Xiqing District,Tianjin",Mr.William    Director,Tel: +86 15095086217,Stockist,,
10,Gude Metal Products CO.LTD.,China (Shandong) Pilot Free Trade Zone   Jinan Area,"Mr. Liu He , Director",Business registration number: 91370100MA3UW7F68L,Stockist,,
11,IPC Group Companies,"RM1503-1505, Charm vit tower, 117 Tran Duy Hung Str, Hanoi ",Mr. Tuyen,"Tel : 84-4-35569980
Fax : 84-4-35568981
Mob. 0917291175","Steel plate, shape steel (L, U, I)",,
12,"Tuan Long Co., Ltd.","An Hong, An Duong Dist., Hai Phong City",Mr. Tuan,"Tell:  02253.500.66
Mob. 0913574203",Steel pipe,,
13,Viet Han JSC.,No. 66D/191 Le Loi - Gia Vien - Ngo Quyen Dist - Hai Phong,Mr. Hung,Mob. 0904064177,"Steel plate, shape steel, pipe, RB, hardox",,
14,"Hung Nguyen Co., Ltd","No. 673 Hung Vuong St., Hung Vuong, Hong Bang Dist., Hai Phong City.",Mr. Tien,Mob. 0984144116,"Steel plate, shape steel (L, U, I, RB, Pipe)",,A.14-Hùng Nguyên
15,"Truong Phat Co., Ltd.","Hamlet 6, Thuy Son commune, Thuy Nguyen dist., Hai Phong City",Mr. Cang,Mob. 0904432588,"Steel plate, shape steel (L, U, I, RB, Pipe)",,A.15-Trường Phát
16,"Thinh Phat Co., Ltd.","No.707 Nguyen Van Linh, Le Chan, Hai Phong",Mr. Hai,Tel. 02253272179 ,"Steel plate, shape steel (L, U, I, RB, Pipe)",,A.16-Thịnh Phát
17,"Nhat Quang Co., Ltd","Van Lam, Hung Yen, Viet Nam",Mr. Bắc,Tel. 02213990568,"Steel plate, shape steel (L, U, I, RB, Pipe)",,
18,Nam Phat. JSC,"HaNoi street, So Dau, Hong Bang Dist, Hai Phong",Mr. Hung,Tel. 02253746085,"Steel plate, shape steel (L, U, I, RB, Pipe)",,
19,"Yixing Boen Enterprises Co., Ltd","No. 1-3# Qing Yuan Road, Economic Development Zone Yixing, Jiangsu, P.R.C",Mrs. Linda,Tel: 86 0510 87057906,"Steel, Accessories",,
20,V-Stainless Steel,"Address: Road No.4, Nhơn Trạch III, Industrial zone, Phase II, Long Tho ward, Nhon Trach district, Dong Nai province",Mr. Tanaka  Kuniano,Tel: 84 2513 566966,"Stainless Steel plate, shape... ",,
21,"Weisheng Steel Co., LTD","9th Floor, TTC Building, Lot BIA, SXTTCN and CNN, Duy tan street, Dich Vong Hau ward, Cau Giay District, Ha Noi, Viet Nam.","Mr, Thinh",Tel: 04 37876442,"Steel plate, shape steel…",,
22,Tam Da JSC.,Lot 35 - Thuong Ly - So Dau Ward - Hong Bang Dist - Hai Phong City.,Mr. Thang,Tel: 84 225  540806,"Steel, Accessories",,
23,"Changshu Fengyang Special Steel Co., LTD",Chánghu- Suzhou-China,Ms  Huyen,"Tel: 008651252815587
Fax: 008651252818206
Mob: 0966316758","Stainless Steel plate, shape... ",,A.23-FENGYANG
24,Công ty tnhh thép hưng thịnh hải phòng,SỐ 57 PHAN BỘI CHÂU - PHƯỜNG HOÀNG VĂN THỤ - QUẬN HỒNG BÀNG – TP HẢI PHÒNG,Mr Tường,Mobile: 0983623590,shape steel…,,N/A
25,Ống thép 190 / Công ty tnhh đầu tư TITAN,"Số 109 Đông Khê, Phường Đông Khê, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam",Mr Đại,Mobile:  0225.3.599.025,Steel pipe,,A.25-Ống thép 190
26,An binh manufacturing and equipment company,Dương Đanh - Dương Xá - Gia Lâm - Hà Nội,Mr Kiên,Mobile: 0935542017,aluminum plate,,A.26-An Bình
27,Hung cuong steel joint stock company,"Km 87 + 900, Đường 5 Mới, Xã Nam Sơn, Huyện An Dương,Thành Phố Hải Phòng, Việt Nam.",Mr Huy,Tel: 0225.3970590,"Steel plate, shape steel…",,A.27-Hùng Cường
28,CÔNG TY TNHH SX – TM – DV HẢO AN PHÁT,"Thôn Phù Trì, Xã Kim Hoa, H.Mê Linh,TP.HàNội ",Mss Oanh," Tel: 0243 813 3037 – 0243 813 3038 
",Round bar,,A.28-Hảo An Phát
29,CÔNG TY TNHH TM Ngọc Hiếu,"Số 8 đường Máy Tơ, phường Máy Tơ, quận Ngô Quyền, Hải Phòng",Mr Huy,Mobile: 0343211201,"Steel plate, shape steel…",,A.29-Ngọc Hiếu
30,"Tan Thanh Steel Co., LTD",Số 2/512 Nguyễn Văn Linh - Vĩnh Niệm - Lê Chân - HP,Mr Thoa,Tel: 02253798755,Steel pipe,,A.30-Tân Thành
31,"Centerway steel Co.,Ltd","Add: No.246 Shidai Yangguang Blvd, Yuhua District, Chángha, Human, China",Mr Jason Tong,Tel: +8673186452683,"Steel, Accessories",,
32,CÔNG TY TNHH TM & DV THÉP QUANG THỊNH PHÁT,"Số 4 Đường An Trì 2, Phường Hồng Bàng, Thành phố Hải Phòng, Việt Nam",Mr lam,Mobile:0914 446 550,Steel pipe,,
33,"EYANG INTERNATIONAL CO., LIMITED        ","HongKong office address: S265, Room B, 14/F, Wah Hen Commercial 
Centre, 383 Hennessy Road, Wan Chai, Hong Kong.
China office address: Room 916, Building A, International Trade 
Centre, No.12 Huanghe Road, Changshu, China.",Mr. JIANY SUN ,"Tel/ Fax: 008652881201
/ 52881219","Stainless Steel plate, shape... ",,
34,CÔNG TY CỔ PHẦN THÉP APEC                              ,"Số 456-458 đường Hùng Vương, phường Hồng Bàng, thành phố Hải Phòng, Việt Nam. ",Mr Cuong,Mobile:0903.480448,"Steel plate, shape steel…",,
35,"MCL RESOURCES CO., LIMITED","ADD:6/F MANULIFE PLACE 348 KWUN TONG ROAD KL HK,CHINA",Mr Chen Liang,,"Steel plate, shape steel…",,
36,CÔNG TY TNHH INOX ĐÔNG NAM,"Số 2, ngõ 105 Thụy Khuê, P. Tây Hồ, TP Hà Nội, VN",Ms may,Mobile 0917561696,"Stainless Steel plate, shape... ",,
37,JFE SHOJI VIETNAM COMPANY LIMITED,"Unit 2.04, The Nexus Building, No. 3A-3B Ton Duc Thang, Sai Gon Ward, HCMC, Vietnam",Ms Dao,Tel: (028) 3910 1002/03/04,"Steel plate, shape steel…",,
II,Bolts and accessories,,,,,,
1,"Gir Gai Trading Co., Ltd.","No.588, Fenglin 2nd Road, Daliao Dist., Kaohsung City 81, Taiwan R.O.C",Mr. Vu - Oversea GM,"Tel: 886-7-7879966
Fax: 886-7-7880558
Mob: 0903912502",Bolts and accessories,,
2,"KOMCO CO.,LTD","102-902 WBC The Palace 28, Centum 1-Ro,Haeundae-Gu Busan City,Korea",Mr. Hyun Kyu Choi,"Tel : +82 51 704 8942 
 Fax : +82 2 303 0191",Bolts and accessories,,
3,"Tianjin ransheng Steel Sales Co., Ltd","1-1-301-4,shuixiyuan,Zhongbei Town,Xiqing District,Tianjin",Mr.William    Director,Tel: +86 15095086217,Bolts and accessories,,
4,SHANGHAI BOZHONG METAL GROUP CO.LTD.,"Room501, No.518 Xinzhuan Highway, Songjiang District, Shanghai, China",MS. Annie Wang,"Tel:+86-21-5762 9195 
Fax:+86-21-6789 7500 
Web: www.bzstainless.com",Bolts and accessories,,
5,"DUC Khanh Co.,LTD","190/1 Ba Cu, Phường 3, TP. Vũng Tàu",Mr. Khanh,"Tel: (+84) 2543 854 154
Email: info@duckhanh.com.vn","Bolts, stud bolt",,
6,Tan Co Group,"No. 92 Yet Kieu, Hai Ba Trung Dist., Ha Noi",Mr. Binh,"Tel: (+84) 243 636 3856
Fax: (+84) 243 636 2843
Mob. 0902225101","Bolts, stud bolt",,
7,Thien Hoang JSC.,"No. 85 Nguyen Xien, Thanh Xuan Dist., Ha Noi",Mr. Tuan,"Tel: 04-32222576- 578
Mob. 0902050599",Bolts,,
8,Hoang Anh JSC.,"Phuong Nhi St., Lien Ninh, Thanh Tri Dist., Ha Noi",Mr. Ha,"Tel: 043 6291 0546
Mob. 0989794783","Bolts, stud bolt",,
9,Xalaco JSC.,"Hue Dong , Dai La ward, Gia Binh Dist, Bac Ninh Province",Mr. Nhat,Mob. 0976456855,Bolts and accessories,,B.9-Xalaco
10,"VSANVINA Co., Ltd","No. 19/152 Phu Thuong Doan, Van My ward, Ngo Quyen Dist, Hai Phong City, Viet Nam.",Mrs. Thuy,Tel: 84 2256 253839,Bolts and accessories,,B.10-VSAN
11,Tam Da JSC.,Lot 35 - Thuong Ly - So Dau Ward - Hong Bang Dist - Hai Phong City.,Mr. Thang,Tel: 84 225  540806,Bolts and accessories,,http://tamda.com.vn/
12,"A Dong Co., Ltd","1st Floor, V4 Building Vesta, Phu lam ward, Ha Dong Dist, Ha Noi",Mr. Dong,Mob. 0963239959,Grating and accessories…,,
13,Công ty CP Winwin HD,"số 10/207 Đường Quang Trung, Phường Bình Hàn, TP Hải Dương",Mr Trung,Mob: 0981.862886,Grating and accessories…,,B.13-Winwin
14,Duc Hiep Machanical company Limited,"Thôn Đồng Côi, Thị trấn Nam Giang, Huyện Nam Trực, Tỉnh Nam Định",Mr Duc,Tel: 0987.097.088,Bolts and accessories,,B.14-Đức Hiệp
15,Công ty tnhh sản xuất thương mại xuất nhập khẩu an đạt phát,"Số 40/17/48 đường số 7, Phường Bình Hưng Hòa, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam.    ",Mr Huy,Tel: 002499190,Mica,,B.15-An Đạt Phát
16,Công ty tnhh THƯƠNG MẠI SẢN XUẤT KIÊN DŨNG,"Số 1, Đường 31A, KĐT An Phú An Khánh, Phường An Phú, TP. Thủ Đức, TP. Hồ Chí
Minh",Mr Kiên,Tel: 028-6281.8231,Seals / Sealing systems,,B.16-Kiên Dũng
17,Công ty  TNHH QUANG ĐẠI ,"Tầng 4, tòa nhà HUD3 Tower, số 121-123 Đường Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",Mr Anh,Tel: 046.651.6105                           ,Composite panels,,B.17-Quảng Đại
18,CÔNG TY TNHH SẢN XUẤT VÀ XUẤT NHẬP KHẨU HOÀNG HÀ,"KT8,142 Lê Duẩn,Phường Văn Miếu-Quốc Tử Giám,Thành Phố Hà Nội.",Mr Thanh,Tel:+84 944 707 888,Bolts and accessories,,
19,CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI TRẦN TOÀN,"Số 10+11 lô 66 Khu Đoàn Kết, Phường Hồng Bàng, Thành phố Hải Phòng, Việt Nam",Mr Toan,Mob: 0904025590,tarpaulin cover,,
20,CÔNG TY CỔ PHẦN ĐẠI PHÁT COMPOSITE,"Thôn Quyết Hạ, Xã Phú Nghĩa, Thành phố Hà Nội",Mr Ky,Mob:  0433812940,Molded FRP Grating,,
III,Paint,,,,,,
1,Nguyen Hanh JSC.,"No. 383-385, Hung Vuong St., Hung Vuong, Hong Bang Dist., Hai Phong",Mr. Phong,"Tel: 84-225-3569147
Fax: 84-225-3569147
Mob. 0947188899",International paint,,
2,Jotun Vietnam,"5 Ly Tu Trong St., Hong Bang Dist., Hai Phong",Mr. Nguyen,"Tel: 0225 3746 559
Mob. 0912155187",Jotun paint,,
3,Chugoku (Hai Phong Paint),"No. 21, 208 St., An Duong Dist., Hai Phong",Mr. Dung,"Tel: 02253593681
Mob. 0913272260",Chugoku paint,,
4,Metaco JSC.,"5 Ly Tu Trong St., Hong Bang Dist., Hai Phong",Mr. Huy,"Tel: 0225.356.9235
Mob. 0909255763",Nippon paint,,
5,Hempel Vietnam,"Floor 15, Sai Gon Tower, 29 Le Duan St., No. 1 Dist., HCM",Mr. Long,"Tel: (028) 39102050
Mob. 0934045858",Hempel paint,,
6,"Phuc Chau Co., Ltd","C14-LK17, No. 3., Le Trong Tan Street, Duong Noi Ward, Ha Dong Dist, Ha Noi, Viet Nam",Mr. Doanh,Mob. 0988798723,"KCC Paint, Jotun Paint…",,
7,Thuy Minh JSC.,"No 280 Hai ba Trung Street, Cat Dai Ward, Le Chan Dist, Hai Phòng City",Mr. Quang,Mob. 0912829646,Carboline paint…,,
IV,Welding materials,,,,,,
1,"Kiswel Ltd.,","43-1 7th FLOOR, HEUNGKOOK BUILDING, JUJA-DONG, CHUNG-GU, SEOUL,
KOREA",Ms. Xuan,"Tel: +82-2-2270-9400
Fax: +82-2-2272-7234
Mob. 0986488780",Kiswel welding,,
2,"Nam Trieu Co., Ltd. (Distributor)","No. 8/282 Da Nang St., Van My, Ngo Quyen Dist., Hai Phong",Mr. Tuan,Mob. 0904.250.285,Kiswel welding,,
3,"Hyundai Welding Ltd.,","8th floor, ACB Bldg., 10 Phan Chu Trinh street, Hoan Kiem district, Hanoi, Vietnam",Mr. Toan,"Tel: (+84-4)39446774
Fax : (+84-4)39446775
Mob. +84-983128529",Hyundai welding,,
4,"Thuong Mai Viet Co., Ltd","Số 1, ngõ162, Đường Thanh Bình, P. Mộ Lao, Q. Hà Đông, TP Hà Nội, VN","Mr. Quang
Director ","Tel: 024-2260.5868
MST: 0104399117",Hyundai/ Kiswel/ Chosun,,
5,"Lotus JSC.
(Distributor)","7th Floor, Building Journalists Association of Vietnam, Lot E2-Cau Giay New Urban Area, Duong Dinh Nghe Street, Yen Hoa Ward, Cau Giay District, TP. Hanoi Vietna",Mr. Ha,"Tel: 0243.763.3366
Fax: 0243.212.336
Mob. 0913684789",Kobelco welding,,
6,"Phuong Nhung Welding material Co., Ltd","No. 77/47 Le Lai - May Chai ward, Ngo Quyen Dist, Hai Phòng City",Ms. Nguyen,Mob. 0989730734,Hyundai/ Kiswel/ Chosun,,
7,"Ha Bao Son Co., Ltd","No 29/34/92 Le Thanh Tong Street, May Chai ward,  Ngo Quyen Dist, Hai Phòng City",Mr. Chung,Tel. 0313 767306,Hyundai/ Kiswel/ Chosun,,
V,Consumable materials,,,,,,
1,"Nam Thang Co., Ltd.","No. 3/53 Luong Khanh Thien St., Ngo Quyen Dist., Hai Phong",Mr. Thang,"Tel: 02253844514
Mob. 0912403586",Gas/ Diesel/ industrial Oil,,
2,"Tam Toan Phat Co., Ltd.","Lot 07N14, Cong Ngoc Residential Area, Tho Xuong Ward, Bac Giang City, Bac Giang Province",Mr. Tu,"Tel: 0204 6566.226
Mob. 0983.413.410  ",CO2,,
3,Sovigaz,"Km9, Quan Toan, Hong Bang District, Hai Phong",Mr. Quyen,"Tel: 0225 - 38.50.132
Mob. 0936733389","O2, Nitro",,
4,Hai Duong Grinding Wheels JSC.,"314 Dien Bien Phu street, Binh Han ward, Hai Duong City, Hai Duong Province",Mr. Nguyen,"Tel: (84).0220.3850074
Fax: (84).0220.3853790
Mob. 0919809258","Grinding wheels, cutting stone",,
5,"Ngan Ngoc Co., Ltd.","No.49 Ton Dan St., Hong Bang Dist., Hai Phong",,Tel: 0225-3831710,"Hand tools, hydraulic rack, measurement tools, Metal accessorie…",,
6,Weldcom,"No. 848 Nguyen Van Linh St., An Duong Dist., Hai Phong",Mr. Kien,Tel: 0225.3531.817,"Welding machine, repairing and maintenance welding machine…",,
7,Cuong Nghia JSC.,"No. 93, Huong Market, Hung Dao, Duong Kinh Dist., Hai Phong",Mrs. Hien,"Tel: 0225 6 506 355 
","Gouging stick, grinding wheels, cutting stone, paint roller, Ceramic weld backing tape…",,
8,IBS MRO,"26th floor, Tower B, 173 Xuan Thuy Building,
Dich Vong Hau Ward, Cau Giay District, Hano",Mr. Phuong,"Tel:  024-2224-8888
Mob. 0772288288"," Grinding wheels, cutting stone, paint roller, Ceramic weld backing tape…",,
VI,Electrical equipments,,,,,,
1,Nguyen Gia JSC.,"No.193 Nguyen Duc Canh St., Cat Dai, Le Chan Dist., Hai Phong",Ms. Ngoc,Tel: 02253 804 584,"Electric cable, MCCB, cabinet, light bulb,transformer…",,
2,"Khanh Duy Tan Co., Ltd.","No. 171+173 Ton Duc Thang St., Le Chan Dist., Hai Phong",Ms. Phuong,Mob. 0977480738,"Electric cable, MCCB, cabinet, light bulb,transformer…",,
3,Hoang Gia Co.,"Số 703 Thiên Lôi, P. Vĩnh Niệm, Q. Lê Chân, Hải Phòng",Ms. Thanh,"Tel:  0225.710.5888
tudonghoahoanggia1@gmail.com
MST: 0201339000
Mob.  0913334187","NPP Biến tấn, TB tự động hóa",,
4,HPE JSC.,"No. 475, Hung Vuong St., Hung Vuong, Hong Bang Dist., Hai Phong",Mr. Tu Anh,"Tel: 02253 593 598
Mob. 0904016616","Electric cabinet, maintenance machineries,…",,
VII,Hand tools,,,,,,
1,IBS MRO,"26th floor, Tower B, 173 Xuan Thuy Building,
Dich Vong Hau Ward, Cau Giay District, Hano",Mr. Phuong,"Tel:  024-2224-8888
Mob. 0772288288","Hand tools, measurement tools, Metal accessorie…",,
2,"Ngan Ngoc Co., Ltd.","No.49 Ton Dan St., Hong Bang Dist., Hai Phong",Mr. Tuan,"Tel: 0225-3831710
Mob. 0986242888","Hand tools, hydraulic rack, measurement tools, Metal accessorie…",,
3,"Thanh Bau Co., Ltd","No 5B/285 Lan Be, Lam Son ward, Le Chan Dist, Hai Phòng City",Mr. Viet Anh,Tel. 0225 3831712,"Steel material, Hand tools, measurement tools, accessories...",,
4,"KST. Nam My Co., Ltd","No. 35/464 Cho Hang Street, Du hang Kenh ward, Le Chan Dist, Hai phong City",Mr. Huy,Mob. 0356226005,"Tools, accessories….",,
5,"Le Hung Co., Ltd","Mai Hien, Mai Lam, Dong Anh, ha Noi",Mr. Hung,Tel. 024 32001203,"Tools, accessories….",,
VIII,Maintenance and repairing,,,,,,
1,"AMT Co., Ltd.","No. 89 Ton Duc Thang, Hong Bang Dist., Hai Phong",Mr. Hau,"Tel: 0225.3570.315
Mob. 0904328720",Repair and maintenance gantry crane,,
2,HPE JSC.,"No. 475, Hung Vuong St., Hung Vuong, Hong Bang Dist., Hai Phong",Mr. Tu Anh,"Tel: 02253 593 598
Mob. 0904016616","Repair and maintenance drill machine, welding machine",,
3,Nam Trieu JSC.,"Tam Hung, Thuy Nguyen Dist., Hai Phong",Mr. Tuan,"Tel: 0225.3821663 
Mob. 0947382969",Repair and maintenance gantry crane,,
4,"Bao Tin Co., Ltd","Room 305, C2 Building, Xuan Đinh,  Tu Liem North, Ha Noi",Mr. Hung,Mob. 0943 36 92 99,"Supply, repair and maintenance air compressor",,
5,Kim Son JSC,"Bắc Sơn, An Dương, Hải Phòng","Mr. Tảo
Giám đốc","Mob. 0397351269
MST: 0201907616","Materials, equipments, repair and maintenance gantry crane",,
6,Công ty CP cơ khí xây lắp và TM DL,"Số 35, Liền kề 12, Khu đô thị Xa La, Hà Đông, Hà Nội",Mr. Tuan,"Tel: 024 37713546
Mob.096 573 5665
Web: tuancautruc.com","Materials, equipments, repair and maintenance gantry crane",,
7,"DELTA Co., Ltd","Số 115A Đường Phan Trọng Tuệ (Đường 70), Xã Tam Hiệp, Huyện Thanh Trì,  Hà Nội ",Mr. Nhất,"Tel: (+84 24). 3 647 3066 
Fax:  (+84 24). 3 647 2674
E-mail:  vanphongdelta@gmail.com
Mob. 0904 316 568","Materials, equipments, repair and maintenance gantry crane",,
8,"HANOI CRANES.,JSC","Số 45A, Ngõ 294, Đường Lĩnh nam, Phường Lĩnh nam, Quận Hoàng mai, Thành phố Hà nội","Mr. Cường
Giám đốc","Tel: 024 3643 6406
Mob. 0912108073
MST: 0 1 0 8 0 8 37 4 9
Email: hncranes@gmail.com","Materials, equipments, repair and maintenance gantry crane",,
IX,Machining and cutting,,,,,,
1,"Z179 Co., Ltd.","Km12, Gighway 1A, Thanh Tri, HN",,,Machining,,
2,"Hameco Co., Ltd.","No.76, Nguyen Trai Road, thuong Dinh Ward, Thanh Xuan Dist, HN.",Mr.Khoat,Mob.0989 220286,Machining,,
3,Tien Manh JSC,"Lô 54, Cai Lanindustrial, Bai Chay Ward, Ha Long City, Quang Ninh",Ms. Thanh,Mob. 0965983615,Machining,,
4,Vmes  JSC,"Km89, Highway 5,My Tranh, Nam Son, An Duong, HP",Mr.Vinh,Mob.0989 565761,Machining,,
5,Iniss JSC,"No.21, An Bien Ward, Le Chan Dist, Hai Phong City",Mr. Kiên,Mob. 0913243648,Cutting,,
6,"Duc Thinh Co., Ltd.","No.45/5A, Phạm Phu Thu St, Ha Ly Ward, Hong Bang Dist, HP",Mr. Thọ,Mob. 0912155139,Cutting,,
7,Khanh Hung JSC,Số 06 Đường An Kim Hải – An Đồng -An Dương – Hải Phòng,Mr. Toản,"Mob. 0369.579.189 
MST: 0202054210",Machining,,
8,"Phuc Loc Thien Phu Co., Ltd","Taân Dương, Thủy Nguyên, HP",Mr. Luân,"Mob. 0896899696
MST: 0201017363",Machining,,
9,Công ty TNHH MTV Đóng tàu Nam Triệu,"Thôn Nghi, xã Tam Hưng, huyện Thủy Nguyên, Tp. Hải Phòng",Mr Phong,"0225 3775533
0904970137",Machining,,
10,Công ty Cơ khí chính xác THT,"Thôn Phú An, xã Cao An, Huyện Cẩm Giàng, Tỉnh Hải Dương",Mr Quỳnh,Mr Quỳnh: 0959767818,Machining,,
11,Công Ty Cổ phần tập đoàn xây lắp 1 - Petrolimex,"Nguyễn Văn Cừ, Phường Gia Thuỵ, Quận Long Biên, TP Hà nội",Mr Tuấn,Mr Tuấn: 02438728594,Machining,,
12,Tổng Công Ty Công Nghiệp Tàu Thủy Bạch Đằng,"3 Phan Đình Phùng, Hạ Lý, Hồng Bàng, Hải Phòng",Mr Hoàng,Mr Hoàng: 0904572503,Machining,,
13,Công ty CP Amecc GT,"Đường 10, An Lão Hải Phòng",Mr Nam,MS Liên: 0972482859, galvanized,,
14,Công ty CP An Việt Hưng Yên,"Thôn Đại Từ, xã Đại Đồng, huyện Văn Lâm, tỉnh Hưng Yên, Việt Nam",M Mạnh,Mr Mạnh: 0988096688, galvanized,,
X,Sub Contractor,,,,,,
1,"DR Building mechanical JSC.,","No 1133, group11, Area 5/1, Hung Vuong Ward,Hong Bang District, HP City",Mr.Duoc,Mob. 0974 360736,"Supply Submaterial, Tools and manpower",,
2,"XL Tech nical and Trading JSC.,","Nam Yen Village, Hai Yen Commune, Tinh Gia Dist., Thanh Hoa Province",Mr.Dang,,"Supply Submaterial, Tools and manpower",,
3,Nam Nguyen Co. Ltd,"Xóm 5 Yên Thành, Liên Thành, Nghệ An",Mr. Hùng,"Mob: 0377 109 651
MST: 2901973777","Supply Submaterial, Tools and manpower",,
4,Thien Minh. JSC,Tổ dân phố 8- Thị trấn An Dương – huyện An Dương – TP. Hải Phòng,"Mr. Vinh
Giám đốc","Tel: 0225.3589 112                             Fax: 0225.3589088
MST:  0201279707","Supply Submaterial, Tools and manpower",,
5,"THT Co., Ltd","646 Ngô Gia Tự, phường Thành Tô, quận Hải An, thành phố Hải Phòng",Mr. Thủy,"Tel: 0225.3823769
MST: 0201913271","Supply Submaterial, Tools and manpower",,
7,Công ty TNHH TM và sản xuất cao su  Mạnh Tiến,"Số 213, Quỳnh cư, Phường Hùng Vương, Hồng Bàng, Hải Phòng.",Mr Trường,"Tel: 
MST: 0201776120","Supply Submaterial, Tools and manpower",,
8,Công ty TNHH kết cấu thép Hoàng Phát,"259 Phương lưu, Đông Hải 1, Hải An, Hải Phòng",Mr Hoàng,MST:0201590422,"Supply Submaterial, Tools and manpower",,
9,Nguyễn Hồng Quân,"Ấp 5, Long An, Long Thành, Tỉnh Đồng Nai",Mr Quân,Tel: 0987270959,"Supply Submaterial, Tools and manpower",,
10,Vũ Văn Lam,"Phường Hùng Vương, Quận Hồng Bàng, Thành phố Hải Phòng",Mr Lam,TEL: 0969669363,"Supply Submaterial, Tools and manpower",,
11,Lại Cao Đỉnh,"Tam Hưng, Thủy Nguyên, Hải Phòng",Mr Đỉnh,Tel: 0355581259,"Supply Submaterial, Tools and manpower",,
12,Nguyễn Văn Tuấn,"Trung Hà, Thủy Nguyên, Hải Phòng",Mr Tuấn,Tel: 0936992259,"Supply Submaterial, Tools and manpower",,
13,Phạm Văn Tuấn,"Thôn Nam, Phục lễ , Thủy Nguyên, Hải Phòng",Mr Tuấn,Tel: 0904060878,"Supply Submaterial, Tools and manpower",,
14,Công ty TNHH đầu tư và thương mại cơ khí Hưng phát,"Số 17, Thôn Trung Hưng, Tiên Lãng, Hp",Mr Khương,"Tel:
MST:0201905601","Supply Submaterial, Tools and manpower",,
15,Công ty CPTM và xếp dỡ vận tải  HP,"159, Quang Trung, Phạm Hồng Thái, Hồng Bàng, Hải Phòng.",Mr Bình,"Tel: 0903219377
MST: 0200690417","Supply Submaterial, Tools and manpower",,
16,Công ty TNHH Xuân Hà,"Số 8A lô 22 Lê Hồng Phong, Đông Khê, Ngô Quyền, Hải Phòng.",Mr Hội,Tel: 02253826731,"Supply Submaterial, Tools and manpower",,
17,Lê Văn Đức,"Đồng Thái, An Dương, Hải Phòng",Mr Đức,Tel: 0904190771,"Supply Submaterial, Tools and manpower",,
18,Công ty TNHH Thương mại và kỹ thuật Bảo Vân,"590 Hùng Vương, P Hùng Vương, Hồng Bàng, Hải Phòng",Mr Đương,Tel: 02258832150,"Supply Submaterial, Tools and manpower",,
19,Công ty Tnhh Đầu tư thương mại và xây dựng Tuấn Đức,"Thôn Cổ Xá, Xã Châu Phong, Huyện Đông Hưng, Tỉnh Thái Bình",Mr Tuấn,Tel: 0971068555,"Supply Submaterial, Tools and manpower",,
20,Công ty CP Lilama  692,"Tản Viên, Hồng Bàng, Hải Phòng",Mr Dũng,Tel:0912969373,"Supply Submaterial, Tools and manpower",,
